,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-3.835302994E+01,-1.314003735E+01,11520000000.0,-3.762392500E+01,1.098080964E+02,11540000000.0,-3.754007205E+01,-1.276134777E+02,11560000000.0,-3.720671674E+01,-8.540676640E+00,11580000000.0,-3.666532489E+01,1.132516455E+02,11600000000.0,-3.710581551E+01,-1.260909704E+02,11620000000.0,-3.758310618E+01,-5.593372139E+00,11640000000.0,-3.798201341E+01,1.178482226E+02,11660000000.0,-3.857901196E+01,-1.195779776E+02,11680000000.0,-3.897866627E+01,6.192439493E+00,11700000000.0,"-3.914595065E+01
","1.277974698E+02
"
1,11500000000.0,-3.768798458E+01,-9.239357518E+00,11520000000.0,-3.707282534E+01,1.115105292E+02,11540000000.0,-3.618316731E+01,-1.258381673E+02,11560000000.0,-3.552926428E+01,-2.363068971E+00,11580000000.0,-3.522681006E+01,1.165252204E+02,11600000000.0,-3.543173284E+01,-1.275859667E+02,11620000000.0,-3.556041334E+01,-4.724342169E+00,11640000000.0,-3.581127038E+01,1.156341848E+02,11660000000.0,-3.619964369E+01,-1.184908098E+02,11680000000.0,-3.661455795E+01,2.447391787E+00,11700000000.0,"-3.691792196E+01
","1.314650336E+02
"
2,11500000000.0,-3.447517153E+01,-1.991499549E+01,11520000000.0,-3.383037472E+01,1.049935519E+02,11540000000.0,-3.299643729E+01,-1.323676332E+02,11560000000.0,-3.255679887E+01,-1.190165384E+01,11580000000.0,-3.209954586E+01,1.074001062E+02,11600000000.0,-3.212771699E+01,-1.309099150E+02,11620000000.0,-3.262897183E+01,-1.093662962E+01,11640000000.0,-3.323277692E+01,1.136572583E+02,11660000000.0,-3.349708017E+01,-1.215574050E+02,11680000000.0,-3.344391440E+01,2.818313826E+00,11700000000.0,"-3.436010601E+01
","1.285488146E+02
"
3,11500000000.0,-3.331733211E+01,-1.353572317E+01,11520000000.0,-3.253797713E+01,1.101586493E+02,11540000000.0,-3.216463224E+01,-1.276608247E+02,11560000000.0,-3.143058793E+01,-7.170221170E+00,11580000000.0,-3.128842322E+01,1.123722059E+02,11600000000.0,-3.131279822E+01,-1.272777733E+02,11620000000.0,-3.145438734E+01,-6.713305661E+00,11640000000.0,-3.183468087E+01,1.173771329E+02,11660000000.0,-3.218081481E+01,-1.182503131E+02,11680000000.0,-3.229662104E+01,6.179866218E+00,11700000000.0,"-3.276442776E+01
","1.317741177E+02
"
4,11500000000.0,-3.636090650E+01,-2.293923601E+01,11520000000.0,-3.572117168E+01,1.043313224E+02,11540000000.0,-3.481376810E+01,-1.349684513E+02,11560000000.0,-3.406978101E+01,-1.210073866E+01,11580000000.0,-3.376488997E+01,1.063319530E+02,11600000000.0,-3.383443452E+01,-1.342498456E+02,11620000000.0,-3.462558428E+01,-1.252458403E+01,11640000000.0,-3.479355543E+01,1.123718872E+02,11660000000.0,-3.504101677E+01,-1.248249544E+02,11680000000.0,-3.540683574E+01,-3.908248446E-01,11700000000.0,"-3.628668250E+01
","1.248589179E+02
"
5,11500000000.0,-3.715938676E+01,-3.096927562E+01,11520000000.0,-3.602489050E+01,9.025294045E+01,11540000000.0,-3.579522070E+01,-1.451920630E+02,11560000000.0,-3.516140101E+01,-2.530513506E+01,11580000000.0,-3.459062925E+01,9.431572305E+01,11600000000.0,-3.518720593E+01,-1.468179170E+02,11620000000.0,-3.562544379E+01,-2.330183475E+01,11640000000.0,-3.572129181E+01,9.869352357E+01,11660000000.0,-3.626465585E+01,-1.346603849E+02,11680000000.0,-3.590715727E+01,-8.574325811E+00,11700000000.0,"-3.590254580E+01
","1.160138990E+02
"
6,11500000000.0,-3.618749368E+01,-1.322925520E+01,11520000000.0,-3.537793163E+01,1.118415387E+02,11540000000.0,-3.436807949E+01,-1.278496804E+02,11560000000.0,-3.385021639E+01,-6.106826490E+00,11580000000.0,-3.363972221E+01,1.128802118E+02,11600000000.0,-3.364392552E+01,-1.280433487E+02,11620000000.0,-3.391682815E+01,-6.099779540E+00,11640000000.0,-3.436290252E+01,1.170817160E+02,11660000000.0,-3.461199487E+01,-1.151981398E+02,11680000000.0,-3.508417232E+01,7.449082771E+00,11700000000.0,"-3.560471264E+01
","1.343172837E+02
"
7,11500000000.0,-3.824096782E+01,-1.834157706E+01,11520000000.0,-3.784300847E+01,1.047324974E+02,11540000000.0,-3.716939432E+01,-1.321216972E+02,11560000000.0,-3.608374326E+01,-1.095812165E+01,11580000000.0,-3.604811279E+01,1.083206620E+02,11600000000.0,-3.635736399E+01,-1.302361696E+02,11620000000.0,-3.706896035E+01,-1.065534020E+01,11640000000.0,-3.726671071E+01,1.147457946E+02,11660000000.0,-3.769918577E+01,-1.228093631E+02,11680000000.0,-3.783252767E+01,3.611072265E+00,11700000000.0,"-3.755757514E+01
","1.282087145E+02
"
8,11500000000.0,-4.011194590E+01,-3.350319617E+01,11520000000.0,-3.926720266E+01,9.064999067E+01,11540000000.0,-3.871303678E+01,-1.481623466E+02,11560000000.0,-3.752557179E+01,-2.910071441E+01,11580000000.0,-3.717544616E+01,9.080981980E+01,11600000000.0,-3.692722287E+01,-1.504950216E+02,11620000000.0,-3.771501448E+01,-2.567303426E+01,11640000000.0,-3.793446827E+01,9.816897586E+01,11660000000.0,-3.848364418E+01,-1.365160701E+02,11680000000.0,-3.899113035E+01,-8.604272128E+00,11700000000.0,"-3.925322937E+01
","1.156192768E+02
"
9,11500000000.0,-3.856131308E+01,-1.457935945E+01,11520000000.0,-3.737780508E+01,1.123030194E+02,11540000000.0,-3.689855695E+01,-1.296956486E+02,11560000000.0,-3.597085997E+01,-9.439624997E+00,11580000000.0,-3.560260217E+01,1.103915564E+02,11600000000.0,-3.595159828E+01,-1.326321663E+02,11620000000.0,-3.641024946E+01,-1.325858960E+01,11640000000.0,-3.740731044E+01,1.074219938E+02,11660000000.0,-3.758333003E+01,-1.264613756E+02,11680000000.0,-3.857633874E+01,-2.852991901E+00,11700000000.0,"-3.878344555E+01
","1.254091755E+02
"
