,Frequency_1,Amplitude_1,Phase_1,Frequency_2,Amplitude_2,Phase_2,Frequency_3,Amplitude_3,Phase_3,Frequency_4,Amplitude_4,Phase_4,Frequency_5,Amplitude_5,Phase_5,Frequency_6,Amplitude_6,Phase_6,Frequency_7,Amplitude_7,Phase_7,Frequency_8,Amplitude_8,Phase_8,Frequency_9,Amplitude_9,Phase_9,Frequency_10,Amplitude_10,Phase_10,Frequency_11,Amplitude_11,Phase_11
0,11500000000.0,-4.142350951E+01,-2.032294227E+01,11520000000.0,-4.169718943E+01,1.017962916E+02,11540000000.0,-4.066998129E+01,-1.328799116E+02,11560000000.0,-4.047726329E+01,-1.332408126E+01,11580000000.0,-4.024006210E+01,1.036706447E+02,11600000000.0,-4.075984385E+01,-1.324854334E+02,11620000000.0,-4.082481650E+01,-1.567472623E+01,11640000000.0,-4.170241869E+01,1.100179714E+02,11660000000.0,-4.304851536E+01,-1.258016732E+02,11680000000.0,-4.258940967E+01,-2.411690696E+00,11700000000.0,"-4.304781212E+01
","1.233289310E+02
"
1,11500000000.0,-4.036488204E+01,-1.274466635E+01,11520000000.0,-3.898583501E+01,1.100583492E+02,11540000000.0,-3.835862555E+01,-1.261927216E+02,11560000000.0,-3.763852229E+01,-6.087639300E+00,11580000000.0,-3.736060993E+01,1.124986103E+02,11600000000.0,-3.693026692E+01,-1.295343204E+02,11620000000.0,-3.782788470E+01,-5.873759877E+00,11640000000.0,-3.829329794E+01,1.139787836E+02,11660000000.0,-3.903649534E+01,-1.209319982E+02,11680000000.0,-3.918149447E+01,3.985852118E+00,11700000000.0,"-3.956312157E+01
","1.304097741E+02
"
2,11500000000.0,-3.752205373E+01,-2.046720745E+01,11520000000.0,-3.632537860E+01,1.054237569E+02,11540000000.0,-3.572912710E+01,-1.313785980E+02,11560000000.0,-3.478748967E+01,-1.066803311E+01,11580000000.0,-3.455490104E+01,1.059608436E+02,11600000000.0,-3.506240647E+01,-1.329042222E+02,11620000000.0,-3.549305530E+01,-1.288026558E+01,11640000000.0,-3.612191221E+01,1.133835273E+02,11660000000.0,-3.658871811E+01,-1.214335022E+02,11680000000.0,-3.684232892E+01,1.971058201E+00,11700000000.0,"-3.731328601E+01
","1.275198842E+02
"
3,11500000000.0,-3.529752501E+01,-2.741583964E+01,11520000000.0,-3.457871025E+01,9.703125867E+01,11540000000.0,-3.376898085E+01,-1.403221238E+02,11560000000.0,-3.322649904E+01,-1.656579884E+01,11580000000.0,-3.278071079E+01,9.997473848E+01,11600000000.0,-3.304459691E+01,-1.433532727E+02,11620000000.0,-3.354778213E+01,-1.911558510E+01,11640000000.0,-3.404155320E+01,1.058155180E+02,11660000000.0,-3.431656543E+01,-1.298297027E+02,11680000000.0,-3.453706817E+01,-5.429384857E+00,11700000000.0,"-3.482846206E+01
","1.199405871E+02
"
4,11500000000.0,-3.617896188E+01,-2.942881023E+01,11520000000.0,-3.512090074E+01,9.532133043E+01,11540000000.0,-3.432055144E+01,-1.414544010E+02,11560000000.0,-3.381104395E+01,-1.926837961E+01,11580000000.0,-3.306269715E+01,9.946220574E+01,11600000000.0,-3.348028140E+01,-1.428187278E+02,11620000000.0,-3.436521965E+01,-2.233321458E+01,11640000000.0,-3.470148237E+01,1.038464210E+02,11660000000.0,-3.523442244E+01,-1.304090571E+02,11680000000.0,-3.540889386E+01,-6.577703691E+00,11700000000.0,"-3.591967695E+01
","1.180239858E+02
"
5,11500000000.0,-3.757238156E+01,-1.955215014E+01,11520000000.0,-3.718107325E+01,1.040702152E+02,11540000000.0,-3.651653698E+01,-1.340004759E+02,11560000000.0,-3.584813754E+01,-1.327837883E+01,11580000000.0,-3.508449957E+01,1.039561295E+02,11600000000.0,-3.587835393E+01,-1.375156957E+02,11620000000.0,-3.645233830E+01,-1.736676336E+01,11640000000.0,-3.667256257E+01,1.075323179E+02,11660000000.0,-3.694365201E+01,-1.274525898E+02,11680000000.0,-3.711036589E+01,2.743403690E-01,11700000000.0,"-3.765907370E+01
","1.254172139E+02
"
6,11500000000.0,-3.923876293E+01,-1.033259482E+01,11520000000.0,-3.780107519E+01,1.169973175E+02,11540000000.0,-3.661097073E+01,-1.203204802E+02,11560000000.0,-3.604421385E+01,-2.276393349E+00,11580000000.0,-3.554412558E+01,1.185231169E+02,11600000000.0,-3.584775444E+01,-1.231229208E+02,11620000000.0,-3.635153802E+01,-2.716625283E+00,11640000000.0,-3.681879504E+01,1.241213205E+02,11660000000.0,-3.691722362E+01,-1.105785961E+02,11680000000.0,-3.747114834E+01,1.718853867E+01,11700000000.0,"-3.822280202E+01
","1.427011119E+02
"
7,11500000000.0,-3.757481900E+01,-8.975910274E+00,11520000000.0,-3.707285951E+01,1.156838339E+02,11540000000.0,-3.625226545E+01,-1.216659471E+02,11560000000.0,-3.566254187E+01,-1.403284722E+00,11580000000.0,-3.591885383E+01,1.180004116E+02,11600000000.0,-3.600703964E+01,-1.257060991E+02,11620000000.0,-3.645999696E+01,-2.833293800E+00,11640000000.0,-3.696442969E+01,1.201936229E+02,11660000000.0,-3.751535103E+01,-1.123657840E+02,11680000000.0,-3.780018416E+01,9.388285762E+00,11700000000.0,"-3.777218226E+01
","1.353553931E+02
"
8,11500000000.0,-3.817787734E+01,-1.115940122E+01,11520000000.0,-3.747813323E+01,1.131343783E+02,11540000000.0,-3.635109925E+01,-1.269352374E+02,11560000000.0,-3.600054492E+01,-4.576916432E+00,11580000000.0,-3.545905616E+01,1.114921218E+02,11600000000.0,-3.564846794E+01,-1.284980174E+02,11620000000.0,-3.636931224E+01,-6.544847353E+00,11640000000.0,-3.655427234E+01,1.192886015E+02,11660000000.0,-3.682294379E+01,-1.128677574E+02,11680000000.0,-3.700349616E+01,1.446382918E+01,11700000000.0,"-3.737627573E+01
","1.406357215E+02
"
9,11500000000.0,-3.844226773E+01,-1.046571178E+01,11520000000.0,-3.756717074E+01,1.136564685E+02,11540000000.0,-3.653833560E+01,-1.226137381E+02,11560000000.0,-3.567494958E+01,-2.020427505E+00,11580000000.0,-3.529573477E+01,1.134670300E+02,11600000000.0,-3.583781017E+01,-1.260071205E+02,11620000000.0,-3.654336461E+01,-4.335268910E+00,11640000000.0,-3.723257950E+01,1.176676751E+02,11660000000.0,-3.768878496E+01,-1.123712901E+02,11680000000.0,-3.836794251E+01,1.077568555E+01,11700000000.0,"-3.849060785E+01
","1.413946510E+02
"
