,Amplitude
0,-1.070302734E+002
1,-1.098071746E+002
2,-1.088898696E+002
3,-1.065194091E+002
4,-1.051696548E+002
5,-1.046087875E+002
6,-1.092861557E+002
7,-1.095410614E+002
8,-1.078310775E+002
9,-1.042863922E+002
10,-1.091157226E+002
11,-1.079652710E+002
12,-1.100883331E+002
13,-1.084448394E+002
14,-1.107288208E+002
15,-1.100052108E+002
16,-1.073865203E+002
17,-1.083259277E+002
18,-1.049501800E+002
19,-1.052539062E+002
20,-1.114710235E+002
21,-1.065411377E+002
22,-1.073331527E+002
23,-1.086849594E+002
24,-1.037121200E+002
25,-1.060826034E+002
26,-1.092381591E+002
27,-1.058230743E+002
28,-1.071952896E+002
29,-1.067082748E+002
30,-1.087833709E+002
31,-1.069013671E+002
32,-1.081793212E+002
33,-1.055275116E+002
34,-1.069645767E+002
35,-1.085873260E+002
36,-1.093770294E+002
37,-1.056915664E+002
38,-1.072448883E+002
39,-1.095067596E+002
40,-1.080853729E+002
41,-1.079769058E+002
42,-1.091109390E+002
43,-1.050031738E+002
44,-1.096668548E+002
45,-1.088572387E+002
46,-1.080696792E+002
47,-1.071127471E+002
48,-1.152436294E+002
49,-1.081071624E+002
50,-1.072040252E+002
51,-1.082311401E+002
52,-1.074893646E+002
53,-1.066789169E+002
54,-1.131067733E+002
55,-1.051779403E+002
56,-1.117627182E+002
57,-1.097277603E+002
58,-1.080177612E+002
59,-1.075893096E+002
60,-1.092431411E+002
61,-1.093905410E+002
62,-1.047775726E+002
63,-1.077904205E+002
64,-1.072072296E+002
65,-1.104785308E+002
66,-1.055858383E+002
67,-1.069185562E+002
68,-1.076379013E+002
69,-1.074765472E+002
70,-1.050032501E+002
71,-1.093340606E+002
72,-1.071069107E+002
73,-1.102402801E+002
74,-1.086567764E+002
75,-1.050111084E+002
76,-1.067626800E+002
77,-1.045611114E+002
78,-1.059354019E+002
79,-1.098443832E+002
80,-1.102665557E+002
81,-1.125369491E+002
82,-1.088434829E+002
83,-1.026848754E+002
84,-1.072797088E+002
85,-1.082766571E+002
86,-1.130760116E+002
87,-1.082454681E+002
88,-1.065738067E+002
89,-1.079567108E+002
90,-1.085911712E+002
91,-1.065667953E+002
92,-1.047255249E+002
93,-1.080768203E+002
94,-1.079167022E+002
95,-1.079547348E+002
96,-1.056973648E+002
97,-1.111438140E+002
98,-1.060056610E+002
99,-1.085936126E+002
100,-1.039004135E+002
