,Amplitude
0,-1.129525756E+002
1,-1.071247177E+002
2,-1.117116470E+002
3,-1.074884643E+002
4,-1.096081695E+002
5,-1.070917816E+002
6,-1.079586181E+002
7,-1.072895355E+002
8,-1.084322967E+002
9,-1.072151336E+002
10,-1.054328460E+002
11,-1.085776367E+002
12,-1.061919326E+002
13,-1.107117462E+002
14,-1.064592056E+002
15,-1.084512939E+002
16,-1.055336456E+002
17,-1.036832046E+002
18,-1.109215087E+002
19,-1.075370330E+002
20,-1.075883941E+002
21,-1.072654800E+002
22,-1.062612152E+002
23,-1.068141632E+002
24,-1.060399627E+002
25,-1.083937149E+002
26,-1.107472686E+002
27,-1.066837921E+002
28,-1.072995758E+002
29,-1.070653915E+002
30,-1.045227203E+002
31,-1.063913116E+002
32,-1.087102203E+002
33,-1.082555160E+002
34,-1.055569610E+002
35,-1.068846054E+002
36,-1.089664535E+002
37,-1.071388168E+002
38,-1.058995590E+002
39,-1.078420028E+002
40,-1.064622345E+002
41,-1.091990203E+002
42,-1.116188812E+002
43,-1.049874115E+002
44,-1.083174591E+002
45,-1.072951278E+002
46,-1.096589813E+002
47,-1.062368927E+002
48,-1.053706817E+002
49,-1.116429672E+002
50,-1.059477157E+002
51,-1.068066406E+002
52,-1.088362426E+002
53,-1.050149688E+002
54,-1.072659301E+002
55,-1.068151397E+002
56,-1.080844955E+002
57,-1.089784317E+002
58,-1.091605377E+002
59,-1.072433700E+002
60,-1.062726593E+002
61,-1.093522949E+002
62,-1.087162475E+002
63,-1.076728744E+002
64,-1.054366302E+002
65,-1.075291976E+002
66,-1.094897003E+002
67,-1.052317657E+002
68,-1.087192382E+002
69,-1.089056854E+002
70,-1.055426254E+002
71,-1.093866195E+002
72,-1.066139679E+002
73,-1.065092163E+002
74,-1.091362075E+002
75,-1.101394271E+002
76,-1.067607040E+002
77,-1.110775528E+002
78,-1.074512786E+002
79,-1.069793701E+002
80,-1.040375976E+002
81,-1.050975799E+002
82,-1.066883773E+002
83,-1.101259384E+002
84,-1.054484100E+002
85,-1.064462280E+002
86,-1.079712982E+002
87,-1.075178680E+002
88,-1.070979232E+002
89,-1.049901886E+002
90,-1.063810577E+002
91,-1.064188385E+002
92,-1.063186798E+002
93,-1.074353637E+002
94,-1.063358612E+002
95,-1.081482696E+002
96,-1.077207489E+002
97,-1.097254180E+002
98,-1.113664932E+002
99,-1.093459091E+002
100,-1.101381835E+002
