,Amplitude
0,-1.073828353E+002
1,-1.073521881E+002
2,-1.055673828E+002
3,-1.073766021E+002
4,-1.080331192E+002
5,-1.094557342E+002
6,-1.060910263E+002
7,-1.085290756E+002
8,-1.074967193E+002
9,-1.076360092E+002
10,-1.123236465E+002
11,-1.059594345E+002
12,-1.048464813E+002
13,-1.104422836E+002
14,-1.062797699E+002
15,-1.040471038E+002
16,-1.083806991E+002
17,-1.108472061E+002
18,-1.057470855E+002
19,-1.058308486E+002
20,-1.039392318E+002
21,-1.078399276E+002
22,-1.101402206E+002
23,-1.081348037E+002
24,-1.047745971E+002
25,-1.066821899E+002
26,-1.076227645E+002
27,-1.079297866E+002
28,-1.118958358E+002
29,-1.046381073E+002
30,-1.037159576E+002
31,-1.068332748E+002
32,-1.099948730E+002
33,-1.063130111E+002
34,-1.036322784E+002
35,-1.076672592E+002
36,-1.076218490E+002
37,-1.075765838E+002
38,-1.099610366E+002
39,-1.071413345E+002
40,-1.079364242E+002
41,-1.067278823E+002
42,-1.108734130E+002
43,-1.086861801E+002
44,-1.064536590E+002
45,-1.043860473E+002
46,-1.097018814E+002
47,-1.084642105E+002
48,-1.061055526E+002
49,-1.051533050E+002
50,-1.076477661E+002
51,-1.095360336E+002
52,-1.060447616E+002
53,-1.062332763E+002
54,-1.102686538E+002
55,-1.053721466E+002
56,-1.070500030E+002
57,-1.103692016E+002
58,-1.077674942E+002
59,-1.098129119E+002
60,-1.074748306E+002
61,-1.075634307E+002
62,-1.050742797E+002
63,-1.070360107E+002
64,-1.100511856E+002
65,-1.058807830E+002
66,-1.072399292E+002
67,-1.101747894E+002
68,-1.077548217E+002
69,-1.089468612E+002
70,-1.078669586E+002
71,-1.123102035E+002
72,-1.104596710E+002
73,-1.051268539E+002
74,-1.079990463E+002
75,-1.092643661E+002
76,-1.083957366E+002
77,-1.068524627E+002
78,-1.057944107E+002
79,-1.087834320E+002
80,-1.068096694E+002
81,-1.105307769E+002
82,-1.064294204E+002
83,-1.055058746E+002
84,-1.077821273E+002
85,-1.070241851E+002
86,-1.091453247E+002
87,-1.072578964E+002
88,-1.059084320E+002
89,-1.074486312E+002
90,-1.042837371E+002
91,-1.131798248E+002
92,-1.082915496E+002
93,-1.054890594E+002
94,-1.119202652E+002
95,-1.068610687E+002
96,-1.121010284E+002
97,-1.101005630E+002
98,-1.120552215E+002
99,-1.126625976E+002
100,-1.059553833E+002
