,Amplitude
0,-1.052733535E+002
1,-1.078956909E+002
2,-1.065713348E+002
3,-1.067470474E+002
4,-1.090675048E+002
5,-1.075917816E+002
6,-1.086050186E+002
7,-1.104761734E+002
8,-1.123576431E+002
9,-1.050410766E+002
10,-1.059220123E+002
11,-1.084844207E+002
12,-1.068233642E+002
13,-1.104796142E+002
14,-1.095770721E+002
15,-1.046451416E+002
16,-1.021232070E+002
17,-1.134026718E+002
18,-1.084012603E+002
19,-1.092263641E+002
20,-1.015917129E+002
21,-1.080882797E+002
22,-1.075358505E+002
23,-1.159404296E+002
24,-1.068691406E+002
25,-1.029626312E+002
26,-1.089618148E+002
27,-1.089497680E+002
28,-1.080999984E+002
29,-1.050434112E+002
30,-1.049337387E+002
31,-1.060759887E+002
32,-1.094525909E+002
33,-1.063229980E+002
34,-1.062117309E+002
35,-1.027304458E+002
36,-1.055645141E+002
37,-1.030904388E+002
38,-1.060706405E+002
39,-1.102438964E+002
40,-1.038455810E+002
41,-1.094298706E+002
42,-1.054089965E+002
43,-1.056045074E+002
44,-1.081069488E+002
45,-1.065994262E+002
46,-1.075876083E+002
47,-1.069348907E+002
48,-1.125022583E+002
49,-1.057494659E+002
50,-1.058830566E+002
51,-1.061218261E+002
52,-1.067213363E+002
53,-1.049876709E+002
54,-1.038195800E+002
55,-1.065529174E+002
56,-1.083621673E+002
57,-1.035460968E+002
58,-1.064134979E+002
59,-1.067546615E+002
60,-1.085996551E+002
61,-1.078357925E+002
62,-1.080903167E+002
63,-1.108101654E+002
64,-1.123299713E+002
65,-1.077567977E+002
66,-1.074281387E+002
67,-1.065971069E+002
68,-1.098025512E+002
69,-1.060629425E+002
70,-1.034218521E+002
71,-1.039976043E+002
72,-1.086472168E+002
73,-1.080257339E+002
74,-1.090609512E+002
75,-1.099512710E+002
76,-1.104268798E+002
77,-1.081077117E+002
78,-1.094472656E+002
79,-1.072275772E+002
80,-1.085447540E+002
81,-1.080921859E+002
82,-1.101490325E+002
83,-1.081935806E+002
84,-1.082518692E+002
85,-1.101034774E+002
86,-1.084867324E+002
87,-1.101023712E+002
88,-1.086934661E+002
89,-1.064922943E+002
90,-1.072401886E+002
91,-1.073051986E+002
92,-1.082561416E+002
93,-1.061112442E+002
94,-1.056607208E+002
95,-1.066173477E+002
96,-1.078893432E+002
97,-1.060760345E+002
98,-1.087236480E+002
99,-1.064673080E+002
100,-1.047305450E+002
