,Amplitude
0,-1.145793914E+002
1,-1.075264129E+002
2,-1.093888168E+002
3,-1.043103408E+002
4,-1.074772338E+002
5,-1.052903060E+002
6,-1.052745361E+002
7,-1.061130752E+002
8,-1.060971527E+002
9,-1.025754241E+002
10,-1.127817382E+002
11,-1.032323989E+002
12,-1.088157730E+002
13,-1.063942871E+002
14,-1.048022003E+002
15,-1.088031997E+002
16,-1.056907501E+002
17,-1.115645599E+002
18,-1.054944915E+002
19,-1.045675888E+002
20,-1.068816299E+002
21,-1.140200653E+002
22,-1.074304657E+002
23,-1.079021759E+002
24,-1.085179443E+002
25,-1.073440094E+002
26,-1.072772827E+002
27,-1.094771499E+002
28,-1.060533065E+002
29,-1.091792144E+002
30,-1.084513397E+002
31,-1.076495361E+002
32,-1.095533599E+002
33,-1.059535064E+002
34,-1.058495101E+002
35,-1.039637222E+002
36,-1.069546661E+002
37,-1.050295867E+002
38,-1.069495239E+002
39,-1.082058944E+002
40,-1.095122833E+002
41,-1.081211929E+002
42,-1.073117065E+002
43,-1.067443084E+002
44,-1.085370636E+002
45,-1.089524383E+002
46,-1.077208633E+002
47,-1.066369018E+002
48,-1.065279998E+002
49,-1.042530899E+002
50,-1.129655304E+002
51,-1.100668335E+002
52,-1.073882675E+002
53,-1.066742706E+002
54,-1.064812622E+002
55,-1.080063705E+002
56,-1.059885635E+002
57,-1.073860931E+002
58,-1.061795425E+002
59,-1.071842041E+002
60,-1.053412857E+002
61,-1.040757064E+002
62,-1.121605835E+002
63,-1.055065689E+002
64,-1.076236190E+002
65,-1.073163223E+002
66,-1.070086669E+002
67,-1.081825408E+002
68,-1.047486801E+002
69,-1.092280120E+002
70,-1.092195434E+002
71,-1.084335708E+002
72,-1.095959930E+002
73,-1.057330322E+002
74,-1.085626220E+002
75,-1.074477081E+002
76,-1.059203949E+002
77,-1.086745147E+002
78,-1.067000503E+002
79,-1.045824432E+002
80,-1.100164413E+002
81,-1.055394668E+002
82,-1.088881073E+002
83,-1.120812225E+002
84,-1.083598403E+002
85,-1.091331939E+002
86,-1.065350570E+002
87,-1.116656723E+002
88,-1.095240707E+002
89,-1.069867095E+002
90,-1.083056640E+002
91,-1.066470565E+002
92,-1.053833999E+002
93,-1.077530975E+002
94,-1.063098373E+002
95,-1.100824966E+002
96,-1.102532959E+002
97,-1.083635101E+002
98,-1.070351181E+002
99,-1.070229263E+002
100,-1.090871963E+002
