,Amplitude
0,-1.103497161E+002
1,-1.105956802E+002
2,-1.064953155E+002
3,-1.095529937E+002
4,-1.086415786E+002
5,-1.057525405E+002
6,-1.065999527E+002
7,-1.055726165E+002
8,-1.075068359E+002
9,-1.044258194E+002
10,-1.057052154E+002
11,-1.083930053E+002
12,-1.109801864E+002
13,-1.076730117E+002
14,-1.119615631E+002
15,-1.066920776E+002
16,-1.064839325E+002
17,-1.111878891E+002
18,-1.072832489E+002
19,-1.042217865E+002
20,-1.083933715E+002
21,-1.059412078E+002
22,-1.081735839E+002
23,-1.070492401E+002
24,-1.122358398E+002
25,-1.065098648E+002
26,-1.078645629E+002
27,-1.063666992E+002
28,-1.125838623E+002
29,-1.054553604E+002
30,-1.070555877E+002
31,-1.101410522E+002
32,-1.075965805E+002
33,-1.034559707E+002
34,-1.045953979E+002
35,-1.101834335E+002
36,-1.114122467E+002
37,-1.079586944E+002
38,-1.067530670E+002
39,-1.097142486E+002
40,-1.073764495E+002
41,-1.060347061E+002
42,-1.088433990E+002
43,-1.066369018E+002
44,-1.086484527E+002
45,-1.089982528E+002
46,-1.079167251E+002
47,-1.106741943E+002
48,-1.063738861E+002
49,-1.071425323E+002
50,-1.050228271E+002
51,-1.101784515E+002
52,-1.133190460E+002
53,-1.029146118E+002
54,-1.099586181E+002
55,-1.046289062E+002
56,-1.063947753E+002
57,-1.054472198E+002
58,-1.073233642E+002
59,-1.084274139E+002
60,-1.070198135E+002
61,-1.089009170E+002
62,-1.060418319E+002
63,-1.072454223E+002
64,-1.067938995E+002
65,-1.131500473E+002
66,-1.096299667E+002
67,-1.074157943E+002
68,-1.038036346E+002
69,-1.097590789E+002
70,-1.072137603E+002
71,-1.074080963E+002
72,-1.071339263E+002
73,-1.065337905E+002
74,-1.054365615E+002
75,-1.084571533E+002
76,-1.046337127E+002
77,-1.076262664E+002
78,-1.035415267E+002
79,-1.057914047E+002
80,-1.078364105E+002
81,-1.113284912E+002
82,-1.060511016E+002
83,-1.050289154E+002
84,-1.068818817E+002
85,-1.109362411E+002
86,-1.075753555E+002
87,-1.052826309E+002
88,-1.059126358E+002
89,-1.085576782E+002
90,-1.034683456E+002
91,-1.090969009E+002
92,-1.116839599E+002
93,-1.068339996E+002
94,-1.065412826E+002
95,-1.103957366E+002
96,-1.072296905E+002
97,-1.084815521E+002
98,-1.094584808E+002
99,-1.062714996E+002
100,-1.092932128E+002
