,Amplitude
0,-1.129480972E+002
1,-1.078227386E+002
2,-1.043665390E+002
3,-1.056621704E+002
4,-1.104938964E+002
5,-1.052377471E+002
6,-1.066369628E+002
7,-1.095982284E+002
8,-1.066772308E+002
9,-1.094070663E+002
10,-1.086562500E+002
11,-1.089917144E+002
12,-1.064864883E+002
13,-1.108903350E+002
14,-1.112449951E+002
15,-1.052184600E+002
16,-1.068340911E+002
17,-1.094044647E+002
18,-1.071707611E+002
19,-1.087117919E+002
20,-1.091205062E+002
21,-1.050068817E+002
22,-1.079484863E+002
23,-1.075709991E+002
24,-1.066333999E+002
25,-1.091726303E+002
26,-1.057435760E+002
27,-1.054385223E+002
28,-1.061910781E+002
29,-1.048851699E+002
30,-1.073032455E+002
31,-1.078255767E+002
32,-1.088377838E+002
33,-1.099828033E+002
34,-1.070337677E+002
35,-1.078641510E+002
36,-1.039339370E+002
37,-1.032205047E+002
38,-1.049609985E+002
39,-1.083259506E+002
40,-1.112173004E+002
41,-1.086136703E+002
42,-1.094964370E+002
43,-1.093846893E+002
44,-1.072807159E+002
45,-1.117979736E+002
46,-1.069696884E+002
47,-1.109269027E+002
48,-1.090164947E+002
49,-1.075150146E+002
50,-1.066243286E+002
51,-1.064980926E+002
52,-1.070787735E+002
53,-1.075608902E+002
54,-1.043806304E+002
55,-1.037280731E+002
56,-1.054706878E+002
57,-1.097972869E+002
58,-1.100747833E+002
59,-1.076492538E+002
60,-1.035967788E+002
61,-1.066202240E+002
62,-1.085053939E+002
63,-1.062111434E+002
64,-1.048205337E+002
65,-1.067940902E+002
66,-1.077143783E+002
67,-1.051933746E+002
68,-1.073495864E+002
69,-1.124568634E+002
70,-1.071314544E+002
71,-1.118407211E+002
72,-1.080290679E+002
73,-1.111622924E+002
74,-1.116428604E+002
75,-1.084906158E+002
76,-1.089217529E+002
77,-1.111556015E+002
78,-1.078352813E+002
79,-1.082724380E+002
80,-1.116872558E+002
81,-1.061340789E+002
82,-1.095893554E+002
83,-1.079725494E+002
84,-1.036287841E+002
85,-1.096565933E+002
86,-1.046715469E+002
87,-1.068988800E+002
88,-1.048689117E+002
89,-1.064394912E+002
90,-1.036608429E+002
91,-1.061811523E+002
92,-1.064711303E+002
93,-1.081113128E+002
94,-1.118694000E+002
95,-1.086351089E+002
96,-1.096266632E+002
97,-1.061724700E+002
98,-1.073361434E+002
99,-1.071189956E+002
100,-1.057910919E+002
