,Amplitude
0,-1.083975601E+002
1,-1.032460098E+002
2,-1.045135269E+002
3,-1.079156265E+002
4,-1.129061050E+002
5,-1.068188247E+002
6,-1.087399749E+002
7,-1.038252563E+002
8,-1.041064300E+002
9,-1.055653228E+002
10,-1.053158950E+002
11,-1.041943740E+002
12,-1.097709350E+002
13,-1.058840789E+002
14,-1.073354950E+002
15,-1.081920394E+002
16,-1.069676284E+002
17,-1.072794647E+002
18,-1.038479003E+002
19,-1.056453094E+002
20,-1.040842285E+002
21,-1.088565216E+002
22,-1.074446868E+002
23,-1.093272094E+002
24,-1.102151107E+002
25,-1.112797393E+002
26,-1.046776580E+002
27,-1.045962905E+002
28,-1.088939209E+002
29,-1.067994842E+002
30,-1.075142822E+002
31,-1.058888092E+002
32,-1.032449340E+002
33,-1.089415283E+002
34,-1.124245224E+002
35,-1.083179473E+002
36,-1.046019897E+002
37,-1.099181137E+002
38,-1.068585662E+002
39,-1.080432510E+002
40,-1.061850357E+002
41,-1.072370376E+002
42,-1.071632309E+002
43,-1.047948226E+002
44,-1.047376861E+002
45,-1.087776107E+002
46,-1.059824676E+002
47,-1.093860855E+002
48,-1.057318115E+002
49,-1.098785247E+002
50,-1.049697494E+002
51,-1.086458358E+002
52,-1.067381591E+002
53,-1.055259628E+002
54,-1.062553253E+002
55,-1.064251327E+002
56,-1.055194931E+002
57,-1.122498779E+002
58,-1.056212387E+002
59,-1.069193267E+002
60,-1.059162826E+002
61,-1.072240829E+002
62,-1.087196655E+002
63,-1.081958999E+002
64,-1.074396362E+002
65,-1.079405517E+002
66,-1.085048065E+002
67,-1.092622299E+002
68,-1.086725082E+002
69,-1.078193817E+002
70,-1.063199081E+002
71,-1.068239898E+002
72,-1.104518661E+002
73,-1.087105712E+002
74,-1.056617584E+002
75,-1.044119033E+002
76,-1.075950164E+002
77,-1.055444717E+002
78,-1.095086288E+002
79,-1.095256958E+002
80,-1.048794403E+002
81,-1.115056915E+002
82,-1.097114868E+002
83,-1.080270233E+002
84,-1.058650131E+002
85,-1.107365951E+002
86,-1.062358627E+002
87,-1.092006378E+002
88,-1.073244857E+002
89,-1.097869644E+002
90,-1.060339813E+002
91,-1.088318328E+002
92,-1.082828140E+002
93,-1.056042709E+002
94,-1.086361236E+002
95,-1.081391983E+002
96,-1.070774078E+002
97,-1.118833847E+002
98,-1.078880996E+002
99,-1.131826171E+002
100,-1.067206802E+002
