,Amplitude
0,-1.059250259E+002
1,-1.090017471E+002
2,-1.096734161E+002
3,-1.055411605E+002
4,-1.060722045E+002
5,-1.051957397E+002
6,-1.062497329E+002
7,-1.066479873E+002
8,-1.099173965E+002
9,-1.115596694E+002
10,-1.058695678E+002
11,-1.029609527E+002
12,-1.080650405E+002
13,-1.053154907E+002
14,-1.109735870E+002
15,-1.095090103E+002
16,-1.040588378E+002
17,-1.065182113E+002
18,-1.084649887E+002
19,-1.080259552E+002
20,-1.053000030E+002
21,-1.089783783E+002
22,-1.121313705E+002
23,-1.076592254E+002
24,-1.072965316E+002
25,-1.044068450E+002
26,-1.056796722E+002
27,-1.096701660E+002
28,-1.078899383E+002
29,-1.065948867E+002
30,-1.111241684E+002
31,-1.031605224E+002
32,-1.045060577E+002
33,-1.076788711E+002
34,-1.081133575E+002
35,-1.081187133E+002
36,-1.098632431E+002
37,-1.065307006E+002
38,-1.105529785E+002
39,-1.088202896E+002
40,-1.084571533E+002
41,-1.048781356E+002
42,-1.080801239E+002
43,-1.077167968E+002
44,-1.084445343E+002
45,-1.094438247E+002
46,-1.060372467E+002
47,-1.074872055E+002
48,-1.105131225E+002
49,-1.061418228E+002
50,-1.069998016E+002
51,-1.121587371E+002
52,-1.064645233E+002
53,-1.104450683E+002
54,-1.103264389E+002
55,-1.139218139E+002
56,-1.106267089E+002
57,-1.061654434E+002
58,-1.103792114E+002
59,-1.060804901E+002
60,-1.095442047E+002
61,-1.073684539E+002
62,-1.070447006E+002
63,-1.095199432E+002
64,-1.064958114E+002
65,-1.080797271E+002
66,-1.107508697E+002
67,-1.082458267E+002
68,-1.108775405E+002
69,-1.061804580E+002
70,-1.085574111E+002
71,-1.068840713E+002
72,-1.046100311E+002
73,-1.072866210E+002
74,-1.081782608E+002
75,-1.111477890E+002
76,-1.081296234E+002
77,-1.068892440E+002
78,-1.082953262E+002
79,-1.054283447E+002
80,-1.050511322E+002
81,-1.050796890E+002
82,-1.132201995E+002
83,-1.066757812E+002
84,-1.034326400E+002
85,-1.068316497E+002
86,-1.062264251E+002
87,-1.073411102E+002
88,-1.047521514E+002
89,-1.076145629E+002
90,-1.082223129E+002
91,-1.067943115E+002
92,-1.086820068E+002
93,-1.070401992E+002
94,-1.067185058E+002
95,-1.061189193E+002
96,-1.068757324E+002
97,-1.056009063E+002
98,-1.076701202E+002
99,-1.076500854E+002
100,-1.087389526E+002
