,Amplitude
0,-1.180779800E+002
1,-1.046091537E+002
2,-1.077300796E+002
3,-1.073361816E+002
4,-1.052634429E+002
5,-1.096062851E+002
6,-1.043002929E+002
7,-1.073067855E+002
8,-1.124095001E+002
9,-1.050742187E+002
10,-1.091252212E+002
11,-1.091494751E+002
12,-1.084461212E+002
13,-1.154218902E+002
14,-1.074772338E+002
15,-1.092776107E+002
16,-1.077679061E+002
17,-1.054916534E+002
18,-1.078265762E+002
19,-1.066213836E+002
20,-1.056986236E+002
21,-1.048336563E+002
22,-1.060280380E+002
23,-1.107025756E+002
24,-1.055051498E+002
25,-1.127177124E+002
26,-1.072811126E+002
27,-1.077431488E+002
28,-1.067947998E+002
29,-1.060284576E+002
30,-1.079778289E+002
31,-1.073516845E+002
32,-1.046783218E+002
33,-1.075982437E+002
34,-1.057134017E+002
35,-1.116547622E+002
36,-1.111563491E+002
37,-1.061858520E+002
38,-1.062581787E+002
39,-1.093931427E+002
40,-1.091276626E+002
41,-1.052836151E+002
42,-1.066981582E+002
43,-1.053510971E+002
44,-1.068118438E+002
45,-1.071197128E+002
46,-1.078373870E+002
47,-1.076485137E+002
48,-1.093567047E+002
49,-1.085107421E+002
50,-1.068307113E+002
51,-1.071961441E+002
52,-1.100944061E+002
53,-1.107380142E+002
54,-1.076180877E+002
55,-1.086774902E+002
56,-1.094689788E+002
57,-1.038045654E+002
58,-1.056368866E+002
59,-1.059705963E+002
60,-1.082718963E+002
61,-1.077737426E+002
62,-1.102495498E+002
63,-1.101590957E+002
64,-1.099052963E+002
65,-1.040998153E+002
66,-1.091994628E+002
67,-1.031807708E+002
68,-1.080261688E+002
69,-1.068010253E+002
70,-1.077103042E+002
71,-1.094479141E+002
72,-1.064673004E+002
73,-1.054889297E+002
74,-1.069619522E+002
75,-1.081259307E+002
76,-1.056969451E+002
77,-1.088066024E+002
78,-1.120377960E+002
79,-1.049954223E+002
80,-1.068281021E+002
81,-1.085122299E+002
82,-1.101321029E+002
83,-1.058621444E+002
84,-1.088808136E+002
85,-1.080830688E+002
86,-1.082938461E+002
87,-1.092652816E+002
88,-1.048701553E+002
89,-1.058770904E+002
90,-1.090757293E+002
91,-1.073651733E+002
92,-1.057202148E+002
93,-1.093499298E+002
94,-1.083242416E+002
95,-1.057335052E+002
96,-1.054904403E+002
97,-1.070679168E+002
98,-1.085302276E+002
99,-1.048197631E+002
100,-1.051095352E+002
