,Amplitude
0,-1.053578872E+002
1,-1.099186554E+002
2,-1.075447845E+002
3,-1.084632797E+002
4,-1.075519180E+002
5,-1.051634368E+002
6,-1.068121109E+002
7,-1.083803482E+002
8,-1.068698577E+002
9,-1.058377914E+002
10,-1.095094757E+002
11,-1.037948379E+002
12,-1.068173828E+002
13,-1.114836273E+002
14,-1.038804473E+002
15,-1.061665267E+002
16,-1.067853546E+002
17,-1.102746963E+002
18,-1.130252914E+002
19,-1.047631683E+002
20,-1.067774658E+002
21,-1.082416610E+002
22,-1.098024063E+002
23,-1.065435409E+002
24,-1.077479400E+002
25,-1.065801239E+002
26,-1.074827880E+002
27,-1.053820571E+002
28,-1.059547882E+002
29,-1.114938201E+002
30,-1.075652694E+002
31,-1.083938751E+002
32,-1.062511444E+002
33,-1.054238662E+002
34,-1.094911346E+002
35,-1.067783355E+002
36,-1.088002700E+002
37,-1.060423202E+002
38,-1.088470840E+002
39,-1.061690444E+002
40,-1.096140365E+002
41,-1.053399887E+002
42,-1.066291275E+002
43,-1.069909439E+002
44,-1.088935165E+002
45,-1.068725814E+002
46,-1.049542846E+002
47,-1.079263458E+002
48,-1.059909896E+002
49,-1.085208587E+002
50,-1.078075943E+002
51,-1.088550796E+002
52,-1.122884521E+002
53,-1.076750869E+002
54,-1.087571029E+002
55,-1.044015274E+002
56,-1.066032867E+002
57,-1.068241424E+002
58,-1.071650543E+002
59,-1.084352035E+002
60,-1.075555572E+002
61,-1.057481079E+002
62,-1.109811554E+002
63,-1.085546722E+002
64,-1.098661041E+002
65,-1.122383804E+002
66,-1.086353988E+002
67,-1.057488632E+002
68,-1.052535400E+002
69,-1.058822021E+002
70,-1.081830062E+002
71,-1.116604385E+002
72,-1.115899810E+002
73,-1.155157012E+002
74,-1.060970230E+002
75,-1.096825714E+002
76,-1.084470672E+002
77,-1.062331771E+002
78,-1.110984649E+002
79,-1.059627304E+002
80,-1.093522796E+002
81,-1.068397979E+002
82,-1.045912857E+002
83,-1.078438262E+002
84,-1.125757598E+002
85,-1.096622314E+002
86,-1.041970062E+002
87,-1.116582183E+002
88,-1.047389526E+002
89,-1.128473129E+002
90,-1.080311050E+002
91,-1.131688690E+002
92,-1.095328369E+002
93,-1.067041778E+002
94,-1.069622955E+002
95,-1.103775482E+002
96,-1.055888671E+002
97,-1.112775268E+002
98,-1.067276611E+002
99,-1.089479827E+002
100,-1.080841827E+002
