,Amplitude
0,-1.049923095E+002
1,-1.106722183E+002
2,-1.042246933E+002
3,-1.028974990E+002
4,-1.062049102E+002
5,-1.084060211E+002
6,-1.061805419E+002
7,-1.072474517E+002
8,-1.089713287E+002
9,-1.049516220E+002
10,-1.052081451E+002
11,-1.080619125E+002
12,-1.075117950E+002
13,-1.089379501E+002
14,-1.030036468E+002
15,-1.124860611E+002
16,-1.071422958E+002
17,-1.042878799E+002
18,-1.081004791E+002
19,-1.087641372E+002
20,-1.105800552E+002
21,-1.079531631E+002
22,-1.082426376E+002
23,-1.052104950E+002
24,-1.064980087E+002
25,-1.097197647E+002
26,-1.081836700E+002
27,-1.055828399E+002
28,-1.072225494E+002
29,-1.049847030E+002
30,-1.092611923E+002
31,-1.120372695E+002
32,-1.058184356E+002
33,-1.058641967E+002
34,-1.066640472E+002
35,-1.031494140E+002
36,-1.084119644E+002
37,-1.063330841E+002
38,-1.044604034E+002
39,-1.056891479E+002
40,-1.072845611E+002
41,-1.077176513E+002
42,-1.043253555E+002
43,-1.107538070E+002
44,-1.092760620E+002
45,-1.093173217E+002
46,-1.074335174E+002
47,-1.078494491E+002
48,-1.084109649E+002
49,-1.058788299E+002
50,-1.145489273E+002
51,-1.076086578E+002
52,-1.117537384E+002
53,-1.058908233E+002
54,-1.047348632E+002
55,-1.083581390E+002
56,-1.093518447E+002
57,-1.060932464E+002
58,-1.085540008E+002
59,-1.059121933E+002
60,-1.031065292E+002
61,-1.055739898E+002
62,-1.057044677E+002
63,-1.063496551E+002
64,-1.062090911E+002
65,-1.173446884E+002
66,-1.016527862E+002
67,-1.047839813E+002
68,-1.067317657E+002
69,-1.044365844E+002
70,-1.103735199E+002
71,-1.081318969E+002
72,-1.116007080E+002
73,-1.085844879E+002
74,-1.081555633E+002
75,-1.074799041E+002
76,-1.062252960E+002
77,-1.083451538E+002
78,-1.084638519E+002
79,-1.073401947E+002
80,-1.079586410E+002
81,-1.040783844E+002
82,-1.059765853E+002
83,-1.045876007E+002
84,-1.063321075E+002
85,-1.082368164E+002
86,-1.093507690E+002
87,-1.070960540E+002
88,-1.083014373E+002
89,-1.090235748E+002
90,-1.060261688E+002
91,-1.049653091E+002
92,-1.094328002E+002
93,-1.101452026E+002
94,-1.039525604E+002
95,-1.094978866E+002
96,-1.054441757E+002
97,-1.066380767E+002
98,-1.091311416E+002
99,-1.116805267E+002
100,-1.064126205E+002
