,Amplitude
0,-1.089074554E+002
1,-1.105255127E+002
2,-1.097796630E+002
3,-1.092098388E+002
4,-1.080143280E+002
5,-1.042402801E+002
6,-1.063509750E+002
7,-1.106342620E+002
8,-1.055908050E+002
9,-1.079053497E+002
10,-1.048430786E+002
11,-1.044548339E+002
12,-1.064422226E+002
13,-1.063311309E+002
14,-1.045533676E+002
15,-1.096140365E+002
16,-1.060096817E+002
17,-1.062546997E+002
18,-1.068175506E+002
19,-1.111782379E+002
20,-1.094067840E+002
21,-1.049874038E+002
22,-1.034512710E+002
23,-1.082627944E+002
24,-1.060203857E+002
25,-1.058794326E+002
26,-1.088886947E+002
27,-1.104959716E+002
28,-1.064447784E+002
29,-1.082195892E+002
30,-1.091782226E+002
31,-1.042023468E+002
32,-1.055473251E+002
33,-1.103631820E+002
34,-1.090084838E+002
35,-1.073190155E+002
36,-1.071651229E+002
37,-1.100709075E+002
38,-1.061973419E+002
39,-1.068531265E+002
40,-1.046979599E+002
41,-1.038884506E+002
42,-1.073618545E+002
43,-1.082244491E+002
44,-1.091716537E+002
45,-1.056352310E+002
46,-1.071486969E+002
47,-1.119420623E+002
48,-1.078669815E+002
49,-1.050890121E+002
50,-1.099567718E+002
51,-1.042525787E+002
52,-1.081643829E+002
53,-1.073523941E+002
54,-1.068019561E+002
55,-1.159932098E+002
56,-1.087537231E+002
57,-1.089390411E+002
58,-1.118730621E+002
59,-1.066250839E+002
60,-1.077790145E+002
61,-1.089052352E+002
62,-1.126065521E+002
63,-1.044463119E+002
64,-1.076207885E+002
65,-1.070438842E+002
66,-1.087646637E+002
67,-1.063379898E+002
68,-1.093559570E+002
69,-1.085864028E+002
70,-1.117565460E+002
71,-1.100150299E+002
72,-1.123395385E+002
73,-1.065801849E+002
74,-1.076553802E+002
75,-1.105016326E+002
76,-1.067207183E+002
77,-1.058013153E+002
78,-1.050654907E+002
79,-1.087303619E+002
80,-1.066791534E+002
81,-1.147760620E+002
82,-1.069269409E+002
83,-1.078127212E+002
84,-1.106756744E+002
85,-1.063928222E+002
86,-1.128733139E+002
87,-1.048819732E+002
88,-1.084106674E+002
89,-1.046462554E+002
90,-1.077645721E+002
91,-1.045661239E+002
92,-1.120266876E+002
93,-1.038068008E+002
94,-1.111583252E+002
95,-1.079484100E+002
96,-1.099401245E+002
97,-1.049233551E+002
98,-1.104883575E+002
99,-1.078628921E+002
100,-1.040130767E+002
