,Amplitude
0,-1.030055542E+002
1,-1.075582275E+002
2,-1.081597442E+002
3,-1.132997589E+002
4,-1.072975845E+002
5,-1.076224365E+002
6,-1.089371337E+002
7,-1.061128921E+002
8,-1.094292450E+002
9,-1.090213165E+002
10,-1.101899414E+002
11,-1.056615753E+002
12,-1.107561187E+002
13,-1.095537338E+002
14,-1.138097686E+002
15,-1.103356475E+002
16,-1.053253326E+002
17,-1.077059097E+002
18,-1.069640350E+002
19,-1.096680755E+002
20,-1.059919662E+002
21,-1.073520278E+002
22,-1.101997909E+002
23,-1.109835052E+002
24,-1.105442276E+002
25,-1.062633895E+002
26,-1.097286987E+002
27,-1.074646759E+002
28,-1.089329223E+002
29,-1.062550659E+002
30,-1.105753402E+002
31,-1.086639404E+002
32,-1.069929428E+002
33,-1.003425064E+002
34,-1.098836212E+002
35,-1.084000244E+002
36,-1.080654754E+002
37,-1.115304336E+002
38,-1.090763092E+002
39,-1.069228897E+002
40,-1.088006973E+002
41,-1.110610122E+002
42,-1.130990142E+002
43,-1.040957794E+002
44,-1.130234603E+002
45,-1.060083999E+002
46,-1.082907486E+002
47,-1.089676666E+002
48,-1.112133941E+002
49,-1.104556427E+002
50,-1.146932601E+002
51,-1.090247039E+002
52,-1.043461303E+002
53,-1.053219375E+002
54,-1.064783477E+002
55,-1.053352203E+002
56,-1.072452011E+002
57,-1.054385986E+002
58,-1.046747589E+002
59,-1.079501190E+002
60,-1.098901367E+002
61,-1.087771453E+002
62,-1.162171173E+002
63,-1.094701995E+002
64,-1.089722290E+002
65,-1.086108779E+002
66,-1.119845733E+002
67,-1.046255035E+002
68,-1.094392089E+002
69,-1.079719085E+002
70,-1.091084594E+002
71,-1.079786834E+002
72,-1.060357513E+002
73,-1.048702545E+002
74,-1.073435058E+002
75,-1.034593658E+002
76,-1.071873550E+002
77,-1.051572418E+002
78,-1.108899536E+002
79,-1.078308944E+002
80,-1.073030166E+002
81,-1.082290649E+002
82,-1.052638702E+002
83,-1.081143417E+002
84,-1.056514663E+002
85,-1.067163238E+002
86,-1.070318374E+002
87,-1.040591201E+002
88,-1.071565170E+002
89,-1.041214370E+002
90,-1.082430191E+002
91,-1.067843627E+002
92,-1.054060287E+002
93,-1.071851806E+002
94,-1.053230133E+002
95,-1.104545135E+002
96,-1.100399398E+002
97,-1.034702606E+002
98,-1.082654800E+002
99,-1.076429214E+002
100,-1.068116684E+002
