,Amplitude
0,-1.045942153E+002
1,-1.080097656E+002
2,-1.076540756E+002
3,-1.088938980E+002
4,-1.095220336E+002
5,-1.116241073E+002
6,-1.081590576E+002
7,-1.090426788E+002
8,-1.079311065E+002
9,-1.083987884E+002
10,-1.057879867E+002
11,-1.066740951E+002
12,-1.073037567E+002
13,-1.063248519E+002
14,-1.108688583E+002
15,-1.076620636E+002
16,-1.071749725E+002
17,-1.081283340E+002
18,-1.091430892E+002
19,-1.094156036E+002
20,-1.054497528E+002
21,-1.082706298E+002
22,-1.071235122E+002
23,-1.070782928E+002
24,-1.025666046E+002
25,-1.077751617E+002
26,-1.057398529E+002
27,-1.105561752E+002
28,-1.107259903E+002
29,-1.095685043E+002
30,-1.055277862E+002
31,-1.090113067E+002
32,-1.080683822E+002
33,-1.129979248E+002
34,-1.050877075E+002
35,-1.024967880E+002
36,-1.061563568E+002
37,-1.090484008E+002
38,-1.085139999E+002
39,-1.051292724E+002
40,-1.092439804E+002
41,-1.049871063E+002
42,-1.080733413E+002
43,-1.056403961E+002
44,-1.102299346E+002
45,-1.049094238E+002
46,-1.086538696E+002
47,-1.078703460E+002
48,-1.094740448E+002
49,-1.091261596E+002
50,-1.094601898E+002
51,-1.079313354E+002
52,-1.077555999E+002
53,-1.073613662E+002
54,-1.159825286E+002
55,-1.075352401E+002
56,-1.099952545E+002
57,-1.064642334E+002
58,-1.048786850E+002
59,-1.055337677E+002
60,-1.064518585E+002
61,-1.096959228E+002
62,-1.100702667E+002
63,-1.098940658E+002
64,-1.061808700E+002
65,-1.096765594E+002
66,-1.087224884E+002
67,-1.097219238E+002
68,-1.068984375E+002
69,-1.084513397E+002
70,-1.064159774E+002
71,-1.089104156E+002
72,-1.088188705E+002
73,-1.057600097E+002
74,-1.090343780E+002
75,-1.085708465E+002
76,-1.047882461E+002
77,-1.071801757E+002
78,-1.095051422E+002
79,-1.090888900E+002
80,-1.052105102E+002
81,-1.086093292E+002
82,-1.084873809E+002
83,-1.085327301E+002
84,-1.055105133E+002
85,-1.040890274E+002
86,-1.070554351E+002
87,-1.106209335E+002
88,-1.057000503E+002
89,-1.067764129E+002
90,-1.053391952E+002
91,-1.110268554E+002
92,-1.072686767E+002
93,-1.134068756E+002
94,-1.087163543E+002
95,-1.081517105E+002
96,-1.097632904E+002
97,-1.067669448E+002
98,-1.075325470E+002
99,-1.092043457E+002
100,-1.082706298E+002
