,Amplitude
0,-1.067751693E+002
1,-1.067698593E+002
2,-1.084507293E+002
3,-1.112613296E+002
4,-1.124178009E+002
5,-1.056477203E+002
6,-1.050053482E+002
7,-1.119372711E+002
8,-1.052848510E+002
9,-1.093825836E+002
10,-1.086839370E+002
11,-1.084789886E+002
12,-1.111818847E+002
13,-1.063451995E+002
14,-1.134788818E+002
15,-1.119475860E+002
16,-1.094734878E+002
17,-1.072116851E+002
18,-1.063585205E+002
19,-1.068821868E+002
20,-1.059152450E+002
21,-1.053127822E+002
22,-1.036240844E+002
23,-1.070410766E+002
24,-1.064851532E+002
25,-1.064752960E+002
26,-1.083681411E+002
27,-1.096556549E+002
28,-1.067014389E+002
29,-1.072635040E+002
30,-1.064774322E+002
31,-1.055754394E+002
32,-1.070444335E+002
33,-1.039635467E+002
34,-1.062746429E+002
35,-1.081794433E+002
36,-1.046234893E+002
37,-1.079123687E+002
38,-1.091929779E+002
39,-1.085830535E+002
40,-1.068849716E+002
41,-1.045597991E+002
42,-1.057341766E+002
43,-1.062233429E+002
44,-1.104476165E+002
45,-1.100163803E+002
46,-1.088556366E+002
47,-1.056549835E+002
48,-1.060168685E+002
49,-1.068618545E+002
50,-1.068795623E+002
51,-1.103493499E+002
52,-1.093554687E+002
53,-1.061398086E+002
54,-1.069952011E+002
55,-1.067914886E+002
56,-1.068978118E+002
57,-1.096178741E+002
58,-1.061674957E+002
59,-1.088437500E+002
60,-1.080555038E+002
61,-1.058562164E+002
62,-1.086150283E+002
63,-1.073372421E+002
64,-1.066938934E+002
65,-1.062320938E+002
66,-1.068149414E+002
67,-1.080406036E+002
68,-1.084691543E+002
69,-1.052653961E+002
70,-1.044936294E+002
71,-1.086914444E+002
72,-1.075966949E+002
73,-1.125899429E+002
74,-1.091257705E+002
75,-1.062977142E+002
76,-1.034106216E+002
77,-1.047573471E+002
78,-1.078728256E+002
79,-1.067481231E+002
80,-1.094484634E+002
81,-1.094977569E+002
82,-1.068434677E+002
83,-1.048843612E+002
84,-1.082631683E+002
85,-1.082162933E+002
86,-1.071857452E+002
87,-1.072716445E+002
88,-1.087332992E+002
89,-1.082612457E+002
90,-1.075346527E+002
91,-1.074318008E+002
92,-1.058421630E+002
93,-1.089436645E+002
94,-1.094224014E+002
95,-1.081311416E+002
96,-1.053834991E+002
97,-1.084326934E+002
98,-1.114460601E+002
99,-1.059434661E+002
100,-1.094346160E+002
