,Amplitude
0,-1.070352401E+002
1,-1.089078140E+002
2,-1.121125030E+002
3,-1.060813980E+002
4,-1.100341339E+002
5,-1.062485580E+002
6,-1.088842315E+002
7,-1.110707626E+002
8,-1.049173584E+002
9,-1.095243072E+002
10,-1.126845245E+002
11,-1.110083236E+002
12,-1.086396102E+002
13,-1.059970245E+002
14,-1.078755950E+002
15,-1.077975235E+002
16,-1.053764495E+002
17,-1.085844879E+002
18,-1.089643936E+002
19,-1.115987167E+002
20,-1.100071258E+002
21,-1.079524688E+002
22,-1.084330291E+002
23,-1.095490264E+002
24,-1.071010894E+002
25,-1.077987060E+002
26,-1.092747650E+002
27,-1.039493560E+002
28,-1.045630035E+002
29,-1.068394393E+002
30,-1.082037124E+002
31,-1.073482894E+002
32,-1.050457763E+002
33,-1.059532318E+002
34,-1.128260955E+002
35,-1.084388809E+002
36,-1.048730239E+002
37,-1.075766754E+002
38,-1.094735565E+002
39,-1.112096328E+002
40,-1.086816253E+002
41,-1.058977813E+002
42,-1.059850082E+002
43,-1.094320068E+002
44,-1.093383331E+002
45,-1.090323638E+002
46,-1.072277450E+002
47,-1.060364837E+002
48,-1.120156631E+002
49,-1.164604873E+002
50,-1.058683700E+002
51,-1.052554473E+002
52,-1.062021102E+002
53,-1.142518081E+002
54,-1.055836639E+002
55,-1.067829132E+002
56,-1.090393905E+002
57,-1.074482193E+002
58,-1.113409271E+002
59,-1.092361450E+002
60,-1.056254272E+002
61,-1.114211425E+002
62,-1.078920135E+002
63,-1.060867462E+002
64,-1.135965118E+002
65,-1.075395278E+002
66,-1.069057464E+002
67,-1.073768463E+002
68,-1.089926910E+002
69,-1.096131362E+002
70,-1.126838226E+002
71,-1.054667205E+002
72,-1.076888046E+002
73,-1.054941253E+002
74,-1.060844116E+002
75,-1.063780517E+002
76,-1.084563751E+002
77,-1.075482330E+002
78,-1.066292495E+002
79,-1.071701278E+002
80,-1.072861785E+002
81,-1.127132415E+002
82,-1.071326904E+002
83,-1.057498016E+002
84,-1.074872589E+002
85,-1.086012954E+002
86,-1.069664077E+002
87,-1.059361114E+002
88,-1.069704589E+002
89,-1.070059051E+002
90,-1.088794174E+002
91,-1.112582016E+002
92,-1.113115081E+002
93,-1.069272842E+002
94,-1.129381485E+002
95,-1.082671279E+002
96,-1.075245742E+002
97,-1.073540420E+002
98,-1.073876724E+002
99,-1.079506225E+002
100,-1.081323700E+002
