,Amplitude
0,-1.074978179E+002
1,-1.067237091E+002
2,-1.055936050E+002
3,-1.058705596E+002
4,-1.108026962E+002
5,-1.061757354E+002
6,-1.054582977E+002
7,-1.028148193E+002
8,-1.054877548E+002
9,-1.094070053E+002
10,-1.075763168E+002
11,-1.089032974E+002
12,-1.067270965E+002
13,-1.111457977E+002
14,-1.070734024E+002
15,-1.078744049E+002
16,-1.066732177E+002
17,-1.075289917E+002
18,-1.072520980E+002
19,-1.060462188E+002
20,-1.071862640E+002
21,-1.054978027E+002
22,-1.086119003E+002
23,-1.085476074E+002
24,-1.108007659E+002
25,-1.088035659E+002
26,-1.095755233E+002
27,-1.084914321E+002
28,-1.097079620E+002
29,-1.046774902E+002
30,-1.056527557E+002
31,-1.075973892E+002
32,-1.065879745E+002
33,-1.066372528E+002
34,-1.082748260E+002
35,-1.087790985E+002
36,-1.064499969E+002
37,-1.073636093E+002
38,-1.048849639E+002
39,-1.062202987E+002
40,-1.146625366E+002
41,-1.072086792E+002
42,-1.076564102E+002
43,-1.080375213E+002
44,-1.082261734E+002
45,-1.107039337E+002
46,-1.076698150E+002
47,-1.044732894E+002
48,-1.029702301E+002
49,-1.073505630E+002
50,-1.075316009E+002
51,-1.116775360E+002
52,-1.069791259E+002
53,-1.094965591E+002
54,-1.091415557E+002
55,-1.073565444E+002
56,-1.046495590E+002
57,-1.039552612E+002
58,-1.091028213E+002
59,-1.075005340E+002
60,-1.075113372E+002
61,-1.088533172E+002
62,-1.114104614E+002
63,-1.094688949E+002
64,-1.104297256E+002
65,-1.117336044E+002
66,-1.070073242E+002
67,-1.060953598E+002
68,-1.061618423E+002
69,-1.105112533E+002
70,-1.061683349E+002
71,-1.083321075E+002
72,-1.057492294E+002
73,-1.088249511E+002
74,-1.104209213E+002
75,-1.050718841E+002
76,-1.088228988E+002
77,-1.067340927E+002
78,-1.074226455E+002
79,-1.126338119E+002
80,-1.064938125E+002
81,-1.071620330E+002
82,-1.076100082E+002
83,-1.068561248E+002
84,-1.073322753E+002
85,-1.084013443E+002
86,-1.068622589E+002
87,-1.081040191E+002
88,-1.069469986E+002
89,-1.097672729E+002
90,-1.046179657E+002
91,-1.060789947E+002
92,-1.107297134E+002
93,-1.033706893E+002
94,-1.075128936E+002
95,-1.086205291E+002
96,-1.071065826E+002
97,-1.042915496E+002
98,-1.038660507E+002
99,-1.093023910E+002
100,-1.040441665E+002
