,Amplitude
0,-1.067076873E+002
1,-1.030712127E+002
2,-1.062083969E+002
3,-1.064975357E+002
4,-1.106949234E+002
5,-1.066585235E+002
6,-1.102231674E+002
7,-1.084644546E+002
8,-1.093955841E+002
9,-1.072603607E+002
10,-1.049470825E+002
11,-1.060904693E+002
12,-1.104086685E+002
13,-1.101476821E+002
14,-1.063773193E+002
15,-1.101442489E+002
16,-1.106875762E+002
17,-1.052032470E+002
18,-1.095750961E+002
19,-1.076601791E+002
20,-1.086481475E+002
21,-1.096577148E+002
22,-1.063794326E+002
23,-1.085472259E+002
24,-1.065953369E+002
25,-1.103386459E+002
26,-1.076876678E+002
27,-1.094813995E+002
28,-1.082300262E+002
29,-1.072472381E+002
30,-1.089993667E+002
31,-1.090973358E+002
32,-1.091728286E+002
33,-1.113014755E+002
34,-1.093342056E+002
35,-1.086604995E+002
36,-1.096051254E+002
37,-1.104019928E+002
38,-1.065223541E+002
39,-1.066192398E+002
40,-1.063895263E+002
41,-1.078758392E+002
42,-1.045066757E+002
43,-1.102004394E+002
44,-1.073598861E+002
45,-1.111526260E+002
46,-1.026777114E+002
47,-1.064918594E+002
48,-1.068348159E+002
49,-1.023922729E+002
50,-1.090298309E+002
51,-1.104245605E+002
52,-1.081863632E+002
53,-1.085174331E+002
54,-1.071231231E+002
55,-1.063059692E+002
56,-1.077720489E+002
57,-1.049302215E+002
58,-1.088198013E+002
59,-1.098696670E+002
60,-1.081736908E+002
61,-1.056249237E+002
62,-1.070980224E+002
63,-1.043505630E+002
64,-1.048032989E+002
65,-1.045897598E+002
66,-1.071927490E+002
67,-1.044897689E+002
68,-1.095354843E+002
69,-1.064187393E+002
70,-1.085423584E+002
71,-1.084081802E+002
72,-1.056645507E+002
73,-1.093384246E+002
74,-1.096596069E+002
75,-1.062471160E+002
76,-1.087052154E+002
77,-1.075698852E+002
78,-1.067796859E+002
79,-1.088575210E+002
80,-1.069692993E+002
81,-1.139717254E+002
82,-1.093125381E+002
83,-1.111093597E+002
84,-1.082271499E+002
85,-1.073163223E+002
86,-1.043921890E+002
87,-1.087456512E+002
88,-1.064586639E+002
89,-1.066453628E+002
90,-1.055723266E+002
91,-1.077054824E+002
92,-1.063826904E+002
93,-1.084481964E+002
94,-1.080136947E+002
95,-1.093984603E+002
96,-1.093694839E+002
97,-1.039132690E+002
98,-1.116564559E+002
99,-1.073527984E+002
100,-1.058036880E+002
